[17:27:43	]mini strider entered observer.
[17:27:44	]mini strider exited observer at their location.
[17:27:45	]mini strider is fully healed.
[17:27:45	]mini strider entered observer.
[17:27:48	]mini strider exited observer at their location.
[17:27:49	]mini strider entered observer.
[17:27:49	]mini strider exited observer at their location.
[17:27:50	]mini strider entered observer.
[17:27:50	]mini strider exited observer at their location.
[17:27:51	]mini strider entered observer.
[17:27:51	]mini strider exited observer at their location.
[17:27:51	]mini strider entered observer.
[17:27:52	]mini strider exited observer at their location.
[17:28:04	]mini strider used command '/ToggleRaise'.
[17:28:15	]ulterior has unloaded their "mini strider" character.
[17:28:19	]ulterior loaded the character 'Esteban Torres'
[17:28:24	]Esteban Torres is fully healed.
[17:28:25	]Esteban Torres entered observer.
[17:28:29	]Esteban Torres exited observer at their location.
[17:28:41	]Esteban Torres used command '/ToggleRaise'.
[17:29:42	]Esteban Torres used command '/ToggleRaise'.
[17:29:49	]Esteban Torres entered observer.
[17:30:18	]Esteban Torres used command '/ToggleRaise'.
[17:30:29	]Esteban Torres exited observer at their location.
[17:30:39	]Adalia Torres exited observer at their location.
[17:30:47	]Esteban Torres entered observer.
[17:30:49	]Esteban Torres exited observer at their location.
[17:30:53	]Esteban Torres entered observer.
[17:30:54	]Esteban Torres exited observer at their location.
[17:31:04	]Esteban Torres has given himself a res_uzi.
[17:31:04	]Esteban Torres has gained a 'Uzi' #2686745.
[17:31:06	]Esteban Torres entered observer.
[17:31:16	]Esteban Torres exited observer at their location.
[17:31:26	]Adalia Torres has spawned a 'Entity [2984][arccw_ammo_ar2_large]'.
[17:31:26	]Adalia Torres has spawned a 'Entity [4414][arccw_ammo_ar2_large]'.
[17:31:30	]Adalia Torres has spawned a 'Entity [2984][arccw_ammo_ar2_large]'.
[17:31:30	]Adalia Torres has spawned a 'Entity [4414][arccw_ammo_ar2_large]'.
[17:31:30	]Adalia Torres has spawned a 'Entity [6287][arccw_ammo_ar2_large]'.
[17:31:49	]Esteban Torres entered observer.
[17:32:04	]Adalia Torres entered observer.
[17:32:06	]Adalia Torres exited observer at their location.
[17:32:06	]Esteban Torres exited observer at their location.
[17:32:07	]Adalia Torres entered observer.
[17:32:07	]Esteban Torres entered observer.
[17:32:07	]Esteban Torres exited observer at their location.
[17:32:08	]Esteban Torres entered observer.
[17:32:08	]Esteban Torres exited observer at their location.
[17:32:08	]Esteban Torres entered observer.
[17:32:09	]Esteban Torres exited observer at their location.
[17:32:10	]Adalia Torres exited observer at their location.
[17:32:10	]Esteban Torres entered observer.
[17:32:13	]Esteban Torres exited observer at their location.
[17:32:22	]Adalia Torres entered observer.
[17:32:26	]Esteban Torres entered observer.
[17:32:32	]Esteban Torres has given himself a gen_mp7.
[17:32:32	]Esteban Torres has gained a 'MP7A1' #2686746.
[17:32:33	]Esteban Torres ran 'Equip' on item 'MP7A1' (#2686746)
[17:32:34	]Esteban Torres used command '/ToggleRaise'.
[17:32:36	]Esteban Torres exited observer at their location.
[17:32:37	]Esteban Torres ran 'drop' on item 'Uzi' (#2686745)
[17:32:37	]Esteban Torres has lost a 'Uzi' #2686745.
[17:32:45	]Esteban Torres destroyed a 'Uzi' #2686745.
