[22:28:38	]Anders Stauning ran SAM command 'hp' with arguments: '^' '100'
[22:28:39	]Anders Stauning used command '/CharGetUp'.
[22:28:42	]Anders Stauning is no longer unconscious from critical wounds.
[22:28:42	]Anders Stauning is fully healed.
[22:28:43	]Anders Stauning used command '/CharStopBleedout ^'.
[22:28:44	]Anders Stauning entered observer.
[22:28:44	][IC] S10/OWS.GHOST-52: <:: Hvt killed3. ::>
[22:28:44	]booile loaded the character 'Michael Anderson'
[22:28:44	]Michael Anderson their 'rusty lockers' stash no longer exists, location reset.
[22:28:45	][IC] Zor'thakar-ival'thor-Etanii: Galanga.
[22:28:47	]Anders Stauning exited observer at their location.
[22:28:47	][IC] Syrthal'kar: Galanga.
[22:28:51	][IC] S10/OWS.GHOST-52: <:: ...and primary hostile eliminated. ::>
[22:28:53	][IC] Anders Stauning: Holy... Shit...
[22:28:53	]Dog loaded the character 'Dog | Gamemaster'
[22:28:54	][IC] S10/OWS.GHOST-52: <:: Hvt dead3. ::>
[22:28:55	][IC] S10/OWS.GHOST-52: <:: Target-One is quiet. ::>
[22:28:58	]Dog | Gamemaster is fully healed.
[22:28:59	][IC] Michael Anderson: Hello.
[22:28:59	][IC] S10/OWS.GHOST-52: <:: Hvt dead1. ::>
[22:29:00	][IC] Anders Stauning: I'm such a fan...
[22:29:00	]S10/APF.GHOST-65 used the 'John Doe' vendor.
[22:29:01	][IC] S10/OWS.GHOST-52: <:: High value target is contained. ::>
[22:29:02	][IC] Syrthal'kar: Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking.
[22:29:03	][IC] Anders Stauning: I love NW.
[22:29:06	][IC] Anders Stauning: I read all your books.
[22:29:07	][IC] Michael Anderson: NW is great.
[22:29:08	]Don Lorenzo used command '/ToggleRaise'.
[22:29:10	][IC] Zor'thakar-ival'thor-Etanii: Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking.
