[04:42:50	]Kraas'Etan exited observer at their location.
[04:42:53	]Kraas'Etan entered observer.
[04:42:53	]Kraas'Etan exited observer at their location.
[04:42:57	]Kraas'Etan entered observer.
[04:42:58	]Kraas'Etan exited observer at their location.
[04:43:02	]Kraas'Etan entered observer.
[04:43:03	]Kraas'Etan exited observer at their location.
[04:43:05	]Kraas'Etan entered observer.
[04:43:05	]Kraas'Etan exited observer at their location.
[04:43:09	]Kraas'Etan entered observer.
[04:43:09	]Kraas'Etan exited observer at their location.
[04:43:13	]Kraas'Etan entered observer.
[04:43:13	]Kraas'Etan exited observer at their location.
[04:43:17	]Kraas'Etan entered observer.
[04:43:17	]Kraas'Etan exited observer at their location.
[04:43:18	]Kraas'Etan entered observer.
[04:43:19	]Kraas'Etan exited observer at their location.
[04:43:22	]Kraas'Etan entered observer.
[04:43:23	]Kraas'Etan exited observer at their location.
[04:43:23	]Kraas'Etan entered observer.
[04:43:23	]Kraas'Etan exited observer at their location.
[04:43:24	]Kraas'Etan entered observer.
[04:43:26	]Kraas'Etan exited observer at their location.
[04:43:27	]Kraas'Etan entered observer.
[04:43:27	]Kraas'Etan exited observer at their location.
[04:43:29	]Kraas'Etan entered observer.
[04:43:30	]Kraas'Etan exited observer at their location.
[04:43:31	]Kraas'Etan entered observer.
[04:48:45	]Kraas'Etan has gone afk.
[04:51:00	]Kraas'Etan exited observer at their location.
[04:51:00	]Kraas'Etan is no longer afk. Total time spent AFK: 430
[04:51:02	]Kraas'Etan entered observer.
[04:51:02	]Kraas'Etan exited observer at their location.
[04:51:06	]Kraas'Etan entered observer.
[04:51:06	]Kraas'Etan exited observer at their location.
[04:51:07	]Kraas'Etan entered observer.
[04:51:08	]Kraas'Etan exited observer at their location.
[04:51:08	]Kraas'Etan entered observer.
[04:51:09	]Kraas'Etan exited observer at their location.
[04:51:09	]Kraas'Etan entered observer.
[04:51:09	]Kraas'Etan exited observer at their location.
[04:51:10	]Kraas'Etan entered observer.
[04:51:10	]Kraas'Etan exited observer at their location.
[04:51:12	]Kraas'Etan entered observer.
[04:51:12	]Kraas'Etan exited observer at their location.
[04:51:17	]Kraas'Etan entered observer.
[04:51:17	]Kraas'Etan exited observer at their location.
[04:51:22	]Kraas'Etan entered observer.
[04:51:22	]Kraas'Etan exited observer at their location.
[04:51:26	]Kraas'Etan entered observer.
[04:51:26	]Kraas'Etan exited observer at their location.
[04:51:27	]Kraas'Etan entered observer.
[04:51:28	]Kraas'Etan exited observer at their location.
[04:51:28	]Kraas'Etan entered observer.
[04:51:29	]Kraas'Etan exited observer at their location.
[04:51:31	]Kraas'Etan entered observer.
[04:52:43	]Kraas'Etan exited observer at their location.
[04:52:43	]Kraas'Etan entered observer.
[04:58:00	]Kraas'Etan has gone afk.
[05:04:25	]Kraas'Etan is no longer afk. Total time spent AFK: 680
[05:04:26	]Kraas'Etan exited observer at their location.
[05:04:28	]Kraas'Etan entered observer.
[05:04:28	]Kraas'Etan exited observer at their location.
[05:04:29	]Kraas'Etan entered observer.
[05:04:29	]Kraas'Etan exited observer at their location.
[05:04:31	]Kraas'Etan entered observer.
[05:04:32	]Kraas'Etan exited observer at their location.
[05:04:33	]Kraas'Etan entered observer.
[05:04:33	]Kraas'Etan exited observer at their location.
[05:04:34	]Kraas'Etan entered observer.
[05:04:34	]Kraas'Etan exited observer at their location.
[05:04:38	]Kraas'Etan entered observer.
[05:04:39	]Kraas'Etan exited observer at their location.
[05:04:39	]Kraas'Etan entered observer.
[05:04:40	]Kraas'Etan exited observer at their location.
[05:04:40	]Kraas'Etan entered observer.
[05:04:41	]Kraas'Etan exited observer at their location.
[05:04:45	]Kraas'Etan entered observer.
[05:04:46	]Kraas'Etan exited observer at their location.
[05:04:50	]Kraas'Etan entered observer.
[05:04:50	]Kraas'Etan exited observer at their location.
