[06:15:34	]Crash test dummy used the 'Munition Lady' vendor.
[06:15:42	]Crash test dummy has gained 0 chips.
[06:15:42	]Crash test dummy has gained a 'SSG-08' #1660770.
[06:15:47	]Crash test dummy ran 'Equip' on item 'SSG-08' (#1660770)
[06:15:49	]Crash test dummy used command '/ToggleRaise'.
[06:15:59	]Crash test dummy used command '/ToggleRaise'.
[06:16:39	]Crash test dummy used command '/ToggleRaise'.
[06:16:42	][IC] Crash test dummy: <:: Overwatch, sector overrun! Repeat, sector overrun! ::>
[06:16:45	]Crash test dummy used command '/ToggleRaise'.
[06:16:49	]Crash test dummy ran 'drop' on item 'SSG-08' (#1660770)
[06:16:49	]Crash test dummy has lost a 'SSG-08' #1660770.
[06:16:50	]Crash test dummy used the 'Munition Lady' vendor.
[06:17:07	]Crash test dummy has gained 0 chips.
[06:17:07	]Crash test dummy has gained a 'AR-2' #1660771.
[06:17:17	]Crash test dummy has gained 0 chips.
[06:17:17	]Crash test dummy has gained a 'Overwatch Assault Shotgun' #1660772.
[06:17:28	]Crash test dummy ran 'Equip' on item 'Overwatch Assault Shotgun' (#1660772)
[06:17:34	]Crash test dummy used command '/ToggleRaise'.
[06:17:50	]Crash test dummy used the 'Munition Lady' vendor.
[06:17:54	]Crash test dummy ran 'EquipUn' on item 'Overwatch Assault Shotgun' (#1660772)
[06:17:56	]Crash test dummy ran 'Equip' on item 'AR-2' (#1660771)
[06:17:57	]Crash test dummy used command '/ToggleRaise'.
[06:18:11	]Crash test dummy ran 'take' on item '30rnd Pulse-magazine' (#1660539)
[06:18:11	]Crash test dummy has gained a '30rnd Pulse-magazine' #1660539.
[06:18:12	]Crash test dummy ran 'take' on item '30rnd Pulse-magazine' (#1660540)
[06:18:12	]Crash test dummy has gained a '30rnd Pulse-magazine' #1660540.
[06:18:13	]Crash test dummy ran 'take' on item '30rnd Pulse-magazine' (#1660538)
[06:18:13	]Crash test dummy has gained a '30rnd Pulse-magazine' #1660538.
[06:18:14	]Crash test dummy ran 'take' on item 'Pulse Rifle Bullets' (#1660761)
[06:18:14	]Crash test dummy has gained a 'Pulse Rifle Bullets' #1660761.
[06:18:15	]Crash test dummy ran 'take' on item 'Pulse Rifle Bullets' (#1660576)
[06:18:15	]Crash test dummy has gained a 'Pulse Rifle Bullets' #1660576.
[06:18:15	]Crash test dummy ran 'take' on item 'Pulse Rifle Bullets' (#1660759)
[06:18:15	]Crash test dummy has gained a 'Pulse Rifle Bullets' #1660759.
[06:18:16	]Crash test dummy has lost a '30rnd Pulse-magazine' #1660540.
[06:18:28	]Crash test dummy has gained a '30rnd Pulse-magazine' #1660540.
[06:18:28	]Crash test dummy has lost a '30rnd Pulse-magazine' #1660539.
[06:18:35	]Crash test dummy has gained a '30rnd Pulse-magazine' #1660539.
[06:18:35	]Crash test dummy has lost a '30rnd Pulse-magazine' #1660538.
[06:19:15	]Crash test dummy ran 'drop' on item 'Overwatch Assault Shotgun' (#1660772)
[06:19:15	]Crash test dummy has lost a 'Overwatch Assault Shotgun' #1660772.
[06:19:15	]Crash test dummy ran 'drop' on item 'AR-2' (#1660771)
[06:19:15	]Crash test dummy has lost a 'AR-2' #1660771.
[06:19:16	]Crash test dummy ran 'drop' on item '30rnd Pulse-magazine' (#1660540)
[06:19:16	]Crash test dummy has lost a '30rnd Pulse-magazine' #1660540.
[06:19:17	]Crash test dummy ran 'drop' on item '30rnd Pulse-magazine' (#1660539)
[06:19:17	]Crash test dummy has lost a '30rnd Pulse-magazine' #1660539.
[06:19:17	]Crash test dummy ran 'drop' on item 'Pulse Rifle Bullets' (#1660761)
[06:19:17	]Crash test dummy has lost a 'Pulse Rifle Bullets' #1660761.
[06:19:18	]Crash test dummy ran 'drop' on item 'Pulse Rifle Bullets' (#1660576)
[06:19:18	]Crash test dummy has lost a 'Pulse Rifle Bullets' #1660576.
[06:19:18	]Crash test dummy ran 'drop' on item 'Pulse Rifle Bullets' (#1660759)
[06:19:18	]Crash test dummy has lost a 'Pulse Rifle Bullets' #1660759.
[06:19:20	]Crash test dummy used the 'Munition Lady' vendor.
[06:19:26	]Crash test dummy has gained 0 chips.
[06:19:26	]Crash test dummy has gained a 'OSITR' #1660773.
[06:19:28	]Crash test dummy has gained 0 chips.
[06:19:28	]Crash test dummy has gained a 'OSPR2A-EXP' #1660774.
[06:19:35	]Crash test dummy ran 'Equip' on item 'OSITR' (#1660773)
[06:19:36	]Crash test dummy used command '/ToggleRaise'.
[06:19:40	]Crash test dummy used the 'Munition Lady' vendor.
[06:19:43	]Crash test dummy has gained 0 chips.
[06:19:43	]Crash test dummy has gained a 'Assault Rifle Bullets' #1660775.
[06:19:43	]Crash test dummy has gained 0 chips.
[06:19:43	]Crash test dummy has gained a 'Assault Rifle Bullets' #1660776.
[06:19:44	]Crash test dummy has gained 0 chips.
[06:19:44	]Crash test dummy has gained a 'Assault Rifle Bullets' #1660777.
[06:19:47	]Crash test dummy has gained 0 chips.
[06:19:47	]Crash test dummy has gained a '60rnd OTAR-magazine' #1660778.
[06:19:48	]Crash test dummy has gained 0 chips.
[06:19:48	]Crash test dummy has gained a '60rnd OTAR-magazine' #1660779.
[06:19:50	]Crash test dummy ran 'combine' on item '60rnd OTAR-magazine' (#1660779)
[06:19:51	]Crash test dummy ran 'combine' on item '60rnd OTAR-magazine' (#1660779)
[06:19:52	]Crash test dummy ran 'combine' on item '60rnd OTAR-magazine' (#1660778)
[06:19:52	]Crash test dummy has lost a '60rnd OTAR-magazine' #1660779.
[06:20:30	]Crash test dummy has gained a '60rnd OTAR-magazine' #1660779.
[06:20:30	]Crash test dummy has lost a '60rnd OTAR-magazine' #1660778.
[06:20:42	]Crash test dummy used command '/ToggleRaise'.
[06:21:07	]Crash test dummy used the 'Munition Lady' vendor.
[06:21:09	]Crash test dummy has gained 0 chips.
[06:21:09	]Crash test dummy has gained a 'Assault Rifle Bullets' #1660780.
[06:21:10	]Crash test dummy has gained 0 chips.
[06:21:10	]Crash test dummy has gained a 'Assault Rifle Bullets' #1660781.
[06:21:11	]Crash test dummy ran 'combine' on item '60rnd OTAR-magazine' (#1660779)
[06:21:12	]Crash test dummy ran 'combine' on item '60rnd OTAR-magazine' (#1660779)
[06:21:13	]Crash test dummy used command '/ToggleRaise'.
[06:21:13	]Crash test dummy has gained a '60rnd OTAR-magazine' #1660778.
[06:21:13	]Crash test dummy has lost a '60rnd OTAR-magazine' #1660779.
[06:21:15	]Crash test dummy used command '/ToggleRaise'.
