[16:32:14	]C24:i4.UNION-38 has gained a 'Black Fedora' #2688037 from a container with the name 'Hank J. Wimleton's equip inventory' #94201.
[16:32:16	]C24:i4.UNION-38 has gained a 'Burgundy Trousers' #2600165 from a container with the name 'Hank J. Wimleton's equip inventory' #94201.
[16:32:17	]C24:i4.UNION-38 has gained a 'Dress Shoes' #2600167 from a container with the name 'Hank J. Wimleton's equip inventory' #94201.
[16:32:20	]Hank J. Wimleton used command '/CharGetUp'.
[16:32:21	]Hank J. Wimleton used command '/CharGetUp'.
[16:32:22	]Hank J. Wimleton used command '/CharGetUp'.
[16:32:22	]Hank J. Wimleton used command '/CharGetUp'.
[16:32:23	]Hank J. Wimleton is no longer unconscious from critical wounds.
[16:32:37	]Hank J. Wimleton used command '/ToggleRaise'.
[16:32:49	]C24:i4.UNION-38 used the 'Quartermaster' vendor.
[16:33:09	]Hank J. Wimleton ran 'EquipUn' on item 'Deagle' (#2688836)
[16:33:10	]Hank J. Wimleton ran 'Equip' on item 'Deagle' (#2688836)
[16:33:11	]Hank J. Wimleton used command '/ToggleRaise'.
[16:33:13	]C24:i4.UNION-38 used the 'Quartermaster' vendor.
[16:33:21	]C24:i4.UNION-38 ran 'take' on item 'MP7A1' (#2689002)
[16:33:21	]C24:i4.UNION-38 has gained a 'MP7A1' #2689002.
[16:33:22	]C24:i4.UNION-38 used command '/ToggleRaise'.
[16:33:23	]C24:i4.UNION-38 ran 'Equip' on item 'MP7A1' (#2689002)
[16:33:23	]Hank J. Wimleton ran 'EquipUn' on item 'Deagle' (#2688836)
[16:33:24	]C24:i4.UNION-38 used command '/ToggleRaise'.
[16:33:24	]Hank J. Wimleton ran 'Equip' on item 'Deagle' (#2688836)
[16:33:24	]Hank J. Wimleton used command '/ToggleRaise'.
[16:33:34	]C24:i4.UNION-38 has hit Hank J. Wimleton in the head dealing 10 damage (CritChance was 0.14).
[16:33:34	]Hank J. Wimleton has taken 10 damage from C24:i4.UNION-38.
[16:33:34	]C24:i4.UNION-38 has hit Hank J. Wimleton in the head dealing 10 damage (CritChance was 0.14).
[16:33:34	]Hank J. Wimleton has taken 10 damage from C24:i4.UNION-38.
[16:33:38	]Hank J. Wimleton used command '/ToggleRaise'.
[16:33:50	]C24:i4.UNION-38 used command '/ToggleRaise'.
[16:33:51	]C24:i4.UNION-38 has hit Hank J. Wimleton dealing 3 damage (CritChance was 0.00).
[16:33:51	]Hank J. Wimleton has taken 3 damage from C24:i4.UNION-38.
