[03:13:32	]Guido Schwarz used command '/Staff This place uses most edicts and I got no idea what it is'.
[03:13:42	]Beab Ghraszt used command '/Staff WHat place'.
[03:13:52	]Beab Ghraszt has used a context menu option with the name: ixpropviewowner
[03:13:52	]Guido Schwarz used command '/Staff This one'.
[03:14:04	]Beab Ghraszt used command '/Staff Propping'.
[03:14:09	]Guido Schwarz has fired a toolgun with the name: remover
[03:14:10	]Guido Schwarz has fired a toolgun with the name: remover
[03:14:11	]Guido Schwarz has fired a toolgun with the name: remover
[03:14:11	]Guido Schwarz has fired a toolgun with the name: remover
[03:14:17	]Beab Ghraszt has used a context menu option with the name: vj_pr_npc_control
[03:14:34	]Guido Schwarz has used a context menu option with the name: remove
[03:14:35	]Guido Schwarz has used a context menu option with the name: ignite
[03:14:36	]Guido Schwarz has used a context menu option with the name: remove
[03:14:51	]Guido Schwarz used command '/ShowEdicts'.
[03:14:59	]Beab Ghraszt entered observer.
[03:15:05	]Beab Ghraszt has spawned a 'NPC [4684][npc_vj_combine_apc_z]'.
[03:15:07	]Beab Ghraszt has used a context menu option with the name: vj_pr_npc_control
[03:15:44	]Beab Ghraszt entered observer.
[03:15:45	]Guido Schwarz has spawned 'models/combine_apc_destroyed_gib01.mdl'.
[03:15:48	]Beab Ghraszt entered observer.
[03:15:49	]Guido Schwarz has spawned 'models/combine_apc_wheelcollision.mdl'.
[03:15:53	]Guido Schwarz used command '/ShowEdicts'.
[03:15:56	]Guido Schwarz used command '/ShowEdicts'.
[03:15:57	]Guido Schwarz has spawned 'models/combine_apc_wheelcollision.mdl'.
[03:16:01	]Beab Ghraszt exited observer at their location.
[03:16:08	]Beab Ghraszt entered observer.
[03:16:08	]Beab Ghraszt exited observer at their location.
[03:16:09	]Beab Ghraszt entered observer.
[03:16:10	]Beab Ghraszt exited observer at their location.
[03:16:11	]Beab Ghraszt entered observer.
[03:16:11	]Beab Ghraszt exited observer at their location.
[03:16:13	]Beab Ghraszt entered observer.
[03:16:14	]Beab Ghraszt exited observer at their location.
[03:16:14	]Beab Ghraszt entered observer.
[03:16:27	]Guido Schwarz has enabled persistence for 'models/combine_apc_wheelcollision.mdl'.
[03:16:27	]Guido Schwarz has used a context menu option with the name: persist
[03:16:39	]Beab Ghraszt exited observer at their location.
[03:16:45	]Beab Ghraszt entered observer.
[03:16:46	]Beab Ghraszt exited observer at their location.
[03:16:51	]Beab Ghraszt entered observer.
[03:16:54	]Beab Ghraszt exited observer at their location.
[03:17:00	]Beab Ghraszt entered observer.
[03:17:17	]Guido Schwarz has spawned 'models/mosi/fallout4/props/fortifications/concretebarricade.mdl'.
[03:17:19	]Guido Schwarz has spawned 'models/mosi/fallout4/props/fortifications/cratelarge01.mdl'.
[03:17:24	]Guido Schwarz has enabled persistence for 'models/mosi/fallout4/props/fortifications/cratelarge01.mdl'.
[03:17:24	]Guido Schwarz has used a context menu option with the name: persist
[03:17:27	]Guido Schwarz has spawned 'models/mosi/fallout4/props/fortifications/junkwall02.mdl'.
[03:17:38	]Guido Schwarz has enabled persistence for 'models/mosi/fallout4/props/fortifications/junkwall02.mdl'.
[03:17:38	]Guido Schwarz has used a context menu option with the name: persist
[03:17:40	]Guido Schwarz has spawned 'models/mosi/fallout4/props/fortifications/junkwall04.mdl'.
[03:17:46	]Beab Ghraszt used command '/Staff The beach is gonna be a noobtrap for cops'.
[03:17:50	]Guido Schwarz has enabled persistence for 'models/mosi/fallout4/props/fortifications/junkwall04.mdl'.
